date,details
2025-09-20,"半夜上头！
<收益>
指定转了一只青蛇，打好了技能，开了5字，还差6字和觉醒就潜龙第一只。
<损失>
化龙鼎依旧没有2.5基础"
2025-09-17,
2025-09-15,
2025-09-10,
2025-09-16,
2025-09-26,"65龟速宠物饰品
18888的假日礼包"
2025-10-01,"27个星穹
1件项圈"
2025-10-10,更改星穹
2025-10-12,垃圾山水祝福骗我挖宝！
2025-10-13,23580买了个项圈，被骗了！
2025-10-14,18000买了个32灵的项圈，开心
2025-10-16,双倍山水说是，结果既没触发，也没给好东西，给了个项圈，可惜不达标
2025-10-26,法宝原来需要神武币养，啧啧啧，还以为日常能补充呢
2025-10-28,4级铠甲，不够潜龙，合了一手，还是不够
2025-11-02,双倍山水出俩项圈，商店再买一个，合不出来
2025-11-08,人物饰品，为了PK
2025-11-13,法宝灵气
2025-11-09,山水，被骗了
2025-11-21,项圈骗局
2025-11-23,铠甲骗局
2025-11-24,
2025-11-27,项圈骗局
2025-11-29,项圈骗局
